,Household_ID,Zone,Household_Size,Distribution_Date,Ration_Type,Ration_Amount_Kg,Satisfaction_Rating,Rice_Kg,Vegetable_Oil_L,Rice_Per_Person,Oil_Per_Person,Ration_Amount_Per_Person,Zone_Monthly_Total_Kg,Total_Food_Kg,Zone_Quarterly_Total_Kg
173,HH0174,Kakuma 4,6.0,2025-06-03,Dry Rations,54.3,Unsatisfied,33.9,3.0,5.65,0.5,9.05,13447.05,91.2,13447.05
174,HH0175,Kakuma 4,2.0,2025-06-17,Dry Rations,41.4,Neutral,25.2,2.5,12.6,1.25,20.7,13447.05,69.1,13447.05
175,HH0176,Kakuma 2,2.0,2025-06-28,Dry Rations,40.16,Very Satisfied,24.1,3.0,12.05,1.5,20.08,12251.69,67.26,12251.69
176,HH0177,Kakuma 3,2.0,2025-06-11,Dry Rations,46.2,Satisfied,35.5,2.4,17.75,1.2,23.1,11340.6,84.1,11340.6
177,HH0178,Kakuma 1,9.0,2025-07-01,Dry Rations,38.4,Very Satisfied,25.1,3.6,2.79,0.4,4.27,669.6,67.1,669.6
178,HH0179,Kakuma 1,6.0,2025-06-21,Dry Rations,47.0,Very Unsatisfied,32.2,2.8,5.37,0.47,7.83,19830.82,82.0,19830.82
179,HH0180,Kakuma 1,2.0,2025-06-20,Cash Transfer,40.7,Neutral,24.7,3.8,12.35,1.9,20.35,19830.82,69.2,19830.82
180,HH0181,Kakuma 1,1.0,2025-06-23,Cash Transfer,47.2,Very Satisfied,32.6,3.2,32.6,3.2,47.2,19830.82,83.0,19830.82
181,HH0182,Kakuma 3,5.0,2025-06-23,Cash Transfer,31.1,Unsatisfied,22.3,2.7,4.46,0.54,6.22,11340.6,56.1,11340.6
182,HH0183,Kakuma 1,9.0,2025-06-26,Cash Transfer,54.2,Neutral,38.7,3.6,4.3,0.4,6.02,19830.82,96.5,19830.82
183,HH0184,Kakuma 2,6.0,2025-06-30,Dry Rations,47.0,Unsatisfied,31.3,4.5,5.22,0.75,7.83,12251.69,82.8,12251.69
184,HH0185,Kakuma 2,7.0,2025-06-04,Cash Transfer,46.5,Very Satisfied,30.8,2.6,4.4,0.37,6.64,12251.69,79.9,12251.69
185,HH0186,Kakuma 4,5.0,2025-06-02,Cash Transfer,28.8,Neutral,17.9,1.7,3.58,0.34,5.76,13447.05,48.4,13447.05
186,HH0187,Kalobeyei,6.0,2025-06-20,Cash Transfer,57.0,Unsatisfied,38.4,4.3,6.4,0.72,9.5,12046.84,99.7,12046.84
187,HH0188,Kakuma 1,5.0,2025-06-16,E-Voucher,39.9,Very Unsatisfied,38.4,2.2,7.68,0.44,7.98,19830.82,80.5,19830.82
188,HH0189,Kakuma 1,9.0,2025-06-16,Cash Transfer,47.3,Very Unsatisfied,35.6,2.8,3.96,0.31,5.26,19830.82,85.7,19830.82
189,HH0190,Kakuma 1,6.0,2025-06-18,Cash Transfer,36.8,Very Satisfied,29.2,3.6,4.87,0.6,6.13,19830.82,69.6,19830.82
190,HH0191,Kakuma 2,8.0,2025-06-08,Dry Rations,42.6,Neutral,33.8,4.2,4.22,0.52,5.32,12251.69,80.6,12251.69
191,HH0192,Kalobeyei,2.0,2025-06-03,Cash Transfer,40.16,Satisfied,33.2,3.0,16.6,1.5,20.08,12046.84,76.36,12046.84
192,HH0193,Kakuma 4,9.0,2025-06-09,E-Voucher,40.16,Neutral,8.5,3.0,0.94,0.33,4.46,13447.05,51.66,13447.05
193,HH0194,Kakuma 2,5.0,2025-06-29,Dry Rations,45.8,Very Unsatisfied,33.9,3.5,6.78,0.7,9.16,12251.69,83.2,12251.69
194,HH0195,Kakuma 4,7.0,2025-06-20,Dry Rations,59.7,Unsatisfied,39.2,3.8,5.6,0.54,8.53,13447.05,102.7,13447.05
195,HH0196,Kakuma 3,1.0,2025-06-29,Cash Transfer,45.4,Satisfied,33.0,3.9,33.0,3.9,45.4,11340.6,82.3,11340.6
196,HH0197,Kakuma 1,5.0,2025-06-06,Cash Transfer,30.4,Very Satisfied,21.0,2.5,4.2,0.5,6.08,19830.82,53.9,19830.82
197,HH0198,Kakuma 1,2.0,2025-06-10,Cash Transfer,46.5,Satisfied,32.4,4.6,16.2,2.3,23.25,19830.82,83.5,19830.82
198,HH0199,Kalobeyei,6.0,2025-06-21,Dry Rations,50.6,Very Satisfied,38.0,3.0,6.33,0.5,8.43,12046.84,91.6,12046.84
199,HH0200,Kakuma 4,1.0,2025-06-10,Dry Rations,45.1,Very Unsatisfied,29.6,3.8,29.6,3.8,45.1,13447.05,78.5,13447.05
200,HH0201,Kakuma 2,3.0,2025-06-10,Dry Rations,39.3,Very Satisfied,26.1,2.1,8.7,0.7,13.1,12251.69,67.5,12251.69
201,HH0202,Kakuma 3,5.0,2025-06-10,Dry Rations,37.6,Very Satisfied,29.5,2.1,5.9,0.42,7.52,11340.6,69.2,11340.6
202,HH0203,Kakuma 1,5.0,2025-06-09,E-Voucher,40.16,Satisfied,22.9,1.9,4.58,0.38,8.03,19830.82,64.96,19830.82
203,HH0204,Kakuma 1,3.0,2025-06-17,Cash Transfer,47.0,Satisfied,32.8,4.7,10.93,1.57,15.67,19830.82,84.5,19830.82
204,HH0205,Kakuma 4,5.0,2025-06-24,E-Voucher,25.9,Very Satisfied,20.3,2.3,4.06,0.46,5.18,13447.05,48.5,13447.05
205,HH0206,Kakuma 3,8.0,2025-06-24,Dry Rations,36.3,Very Unsatisfied,26.2,3.2,3.28,0.4,4.54,11340.6,65.7,11340.6
206,HH0207,Kalobeyei,4.0,2025-06-09,Dry Rations,56.0,Satisfied,39.7,4.2,9.93,1.05,14.0,12046.84,99.9,12046.84
207,HH0208,Kakuma 3,1.0,2025-06-01,Cash Transfer,56.3,Neutral,36.6,3.7,36.6,3.7,56.3,11340.6,96.6,11340.6
208,HH0209,Kakuma 4,1.0,2025-06-01,E-Voucher,25.2,Unsatisfied,16.9,1.5,16.9,1.5,25.2,13447.05,43.6,13447.05
209,HH0210,Kakuma 4,8.0,2025-06-28,Cash Transfer,28.7,Very Satisfied,22.1,1.8,2.76,0.22,3.59,13447.05,52.6,13447.05
210,HH0211,Kakuma 3,3.0,2025-06-16,E-Voucher,37.3,Very Satisfied,26.6,3.0,8.87,1.0,12.43,11340.6,66.9,11340.6
211,HH0212,Kakuma 1,6.0,2025-06-29,Dry Rations,48.9,Unsatisfied,34.4,4.3,5.73,0.72,8.15,19830.82,87.6,19830.82
212,HH0213,Kakuma 3,2.0,2025-06-01,Cash Transfer,21.7,Very Unsatisfied,13.5,1.7,6.75,0.85,10.85,11340.6,36.9,11340.6
213,HH0214,Kakuma 2,7.0,2025-06-10,Cash Transfer,39.5,Unsatisfied,23.8,2.1,3.4,0.3,5.64,12251.69,65.4,12251.69
214,HH0215,Kakuma 3,8.0,2025-06-18,Dry Rations,35.3,Satisfied,28.0,1.8,3.5,0.22,4.41,11340.6,65.1,11340.6
215,HH0216,Kakuma 3,6.0,2025-06-26,Dry Rations,53.3,Unsatisfied,36.0,2.9,6.0,0.48,8.88,11340.6,92.2,11340.6
216,HH0217,Kakuma 4,6.0,2025-06-28,E-Voucher,23.2,Very Satisfied,16.7,1.6,2.78,0.27,3.87,13447.05,41.5,13447.05
217,HH0218,Kakuma 4,5.0,2025-06-08,E-Voucher,40.16,Unsatisfied,16.7,4.0,3.34,0.8,8.03,13447.05,60.86,13447.05
218,HH0219,Kakuma 1,8.0,2025-06-08,E-Voucher,36.1,Neutral,26.6,3.0,3.32,0.38,4.51,19830.82,65.7,19830.82
219,HH0220,Kakuma 1,1.0,2025-06-28,E-Voucher,54.7,Very Unsatisfied,43.0,4.9,43.0,4.9,54.7,19830.82,102.6,19830.82
220,HH0221,Kakuma 2,4.0,2025-06-11,Dry Rations,46.0,Unsatisfied,32.9,3.0,8.22,0.75,11.5,12251.69,81.9,12251.69
221,HH0222,Kakuma 1,4.0,2025-06-23,Cash Transfer,34.1,Very Satisfied,21.3,2.3,5.32,0.57,8.52,19830.82,57.7,19830.82
222,HH0223,Kakuma 3,3.0,2025-06-02,Cash Transfer,48.5,Satisfied,34.7,2.7,11.57,0.9,16.17,11340.6,85.9,11340.6
223,HH0224,Kakuma 4,3.0,2025-06-08,Dry Rations,36.1,Very Satisfied,27.2,3.4,9.07,1.13,12.03,13447.05,66.7,13447.05
224,HH0225,Kakuma 1,4.0,2025-06-27,Dry Rations,50.0,Very Unsatisfied,34.1,4.5,8.52,1.12,12.5,19830.82,88.6,19830.82
225,HH0226,Kakuma 1,1.0,2025-06-22,Cash Transfer,37.6,Neutral,29.2,2.2,29.2,2.2,37.6,19830.82,69.0,19830.82
226,HH0227,Kakuma 2,2.0,2025-06-08,Dry Rations,50.5,Very Unsatisfied,36.9,3.8,18.45,1.9,25.25,12251.69,91.2,12251.69
227,HH0228,Kakuma 2,9.0,2025-06-17,Dry Rations,44.4,Neutral,34.6,3.3,3.84,0.37,4.93,12251.69,82.3,12251.69
228,HH0229,Kakuma 3,2.0,2025-06-17,E-Voucher,72.6,Very Unsatisfied,52.6,5.9,26.3,2.95,36.3,11340.6,131.1,11340.6
229,HH0230,Kakuma 4,2.0,2025-06-17,Cash Transfer,39.5,Satisfied,24.7,3.8,12.35,1.9,19.75,13447.05,68.0,13447.05
230,HH0231,Kakuma 2,9.0,2025-06-28,Cash Transfer,43.8,Unsatisfied,29.0,3.5,3.22,0.39,4.87,12251.69,76.3,12251.69
231,HH0232,Kakuma 1,9.0,2025-06-23,Dry Rations,35.2,Neutral,22.5,2.7,2.5,0.3,3.91,19830.82,60.4,19830.82
232,HH0233,Kakuma 4,8.0,2025-06-24,Cash Transfer,40.16,Neutral,31.3,2.1,3.91,0.26,5.02,13447.05,73.56,13447.05
233,HH0234,Kakuma 4,1.0,2025-06-13,E-Voucher,13.0,Neutral,9.8,0.7,9.8,0.7,13.0,13447.05,23.5,13447.05
234,HH0235,Kakuma 1,1.0,2025-06-19,Cash Transfer,44.7,Very Unsatisfied,32.9,2.7,32.9,2.7,44.7,19830.82,80.3,19830.82
235,HH0236,Kakuma 1,9.0,2025-06-05,Dry Rations,53.4,Satisfied,32.9,2.8,3.66,0.31,5.93,19830.82,89.1,19830.82
236,HH0237,Kakuma 1,8.0,2025-06-12,Dry Rations,44.0,Unsatisfied,28.0,3.8,3.5,0.48,5.5,19830.82,75.8,19830.82
237,HH0238,Kakuma 4,9.0,2025-06-01,E-Voucher,26.9,Unsatisfied,20.2,2.3,2.24,0.26,2.99,13447.05,49.4,13447.05
238,HH0239,Kalobeyei,7.0,2025-06-23,E-Voucher,32.0,Very Unsatisfied,22.2,1.8,3.17,0.26,4.57,12046.84,56.0,12046.84
239,HH0240,Kalobeyei,3.0,2025-06-05,Cash Transfer,15.7,Neutral,22.2,1.4,7.4,0.47,5.23,12046.84,39.3,12046.84
240,HH0241,Kakuma 3,3.0,2025-06-05,Cash Transfer,49.8,Neutral,36.0,2.9,12.0,0.97,16.6,11340.6,88.7,11340.6
241,HH0242,Kakuma 1,2.0,2025-06-13,Dry Rations,29.9,Neutral,18.2,1.9,9.1,0.95,14.95,19830.82,50.0,19830.82
242,HH0243,Kakuma 1,5.0,2025-06-08,E-Voucher,39.7,Unsatisfied,26.4,2.5,5.28,0.5,7.94,19830.82,68.6,19830.82
243,HH0244,Kakuma 3,3.0,2025-06-25,E-Voucher,38.5,Very Unsatisfied,26.7,2.6,8.9,0.87,12.83,11340.6,67.8,11340.6
244,HH0245,Kakuma 3,6.0,2025-06-23,E-Voucher,54.9,Very Satisfied,34.6,3.4,5.77,0.57,9.15,11340.6,92.9,11340.6
245,HH0246,Kakuma 3,2.0,2025-06-11,Cash Transfer,40.9,Satisfied,32.6,3.0,16.3,1.5,20.45,11340.6,76.5,11340.6
246,HH0247,Kakuma 4,2.0,2025-06-01,E-Voucher,48.1,Very Satisfied,30.9,3.4,15.45,1.7,24.05,13447.05,82.4,13447.05
247,HH0248,Kakuma 1,2.0,2025-06-01,Dry Rations,45.5,Unsatisfied,28.5,4.5,14.25,2.25,22.75,19830.82,78.5,19830.82
248,HH0249,Kakuma 4,1.0,2025-06-19,Dry Rations,53.6,Neutral,28.5,2.8,28.5,2.8,53.6,13447.05,84.9,13447.05
249,HH0250,Kakuma 1,1.0,2025-06-24,Cash Transfer,37.6,Satisfied,28.3,2.1,28.3,2.1,37.6,19830.82,68.0,19830.82
250,HH0251,Kakuma 1,9.0,2025-06-24,Cash Transfer,58.7,Unsatisfied,40.2,3.0,4.47,0.33,6.52,19830.82,101.9,19830.82
251,HH0252,Kakuma 4,7.0,2025-06-24,E-Voucher,20.1,Unsatisfied,14.3,1.6,2.04,0.23,2.87,13447.05,36.0,13447.05
252,HH0253,Kakuma 4,1.0,2025-06-17,Cash Transfer,48.6,Very Unsatisfied,29.4,2.6,29.4,2.6,48.6,13447.05,80.6,13447.05
253,HH0254,Kakuma 3,8.0,2025-06-05,Dry Rations,40.16,Satisfied,19.0,2.9,2.38,0.36,5.02,11340.6,62.06,11340.6
254,HH0255,Kakuma 1,3.0,2025-06-20,E-Voucher,35.1,Satisfied,19.0,2.7,6.33,0.9,11.7,19830.82,56.8,19830.82
255,HH0256,Kakuma 1,8.0,2025-06-21,Dry Rations,45.7,Very Unsatisfied,34.9,3.0,4.36,0.38,5.71,19830.82,83.6,19830.82
256,HH0257,Kakuma 1,5.0,2025-06-08,E-Voucher,45.6,Very Unsatisfied,35.4,3.6,7.08,0.72,9.12,19830.82,84.6,19830.82
257,HH0258,Kalobeyei,1.0,2025-06-26,Cash Transfer,46.1,Very Satisfied,28.5,2.7,28.5,2.7,46.1,12046.84,77.3,12046.84
258,HH0259,Kakuma 2,7.0,2025-07-01,E-Voucher,26.1,Satisfied,18.5,1.6,2.64,0.23,3.73,338.7,46.2,338.7
259,HH0260,Kakuma 2,5.0,2025-06-14,E-Voucher,54.5,Satisfied,42.7,3.6,8.54,0.72,10.9,12251.69,100.8,12251.69
260,HH0261,Kakuma 2,6.0,2025-06-04,Dry Rations,31.0,Satisfied,21.0,2.5,3.5,0.42,5.17,12251.69,54.5,12251.69
261,HH0262,Kakuma 1,6.0,2025-06-11,Dry Rations,32.3,Very Unsatisfied,24.7,2.0,4.12,0.33,5.38,19830.82,59.0,19830.82
262,HH0263,Kakuma 1,8.0,2025-06-11,E-Voucher,46.4,Unsatisfied,29.1,2.6,3.64,0.32,5.8,19830.82,78.1,19830.82
263,HH0264,Kakuma 1,9.0,2025-06-15,Cash Transfer,37.1,Neutral,29.2,3.7,3.24,0.41,4.12,19830.82,70.0,19830.82
264,HH0265,Kakuma 4,2.0,2025-06-19,Cash Transfer,43.1,Very Unsatisfied,29.2,2.2,14.6,1.1,21.55,13447.05,74.5,13447.05
265,HH0266,Kakuma 1,9.0,2025-06-07,Dry Rations,40.16,Satisfied,14.5,3.0,1.61,0.33,4.46,19830.82,57.66,19830.82
266,HH0267,Kakuma 1,9.0,2025-06-07,Cash Transfer,42.8,Very Unsatisfied,31.5,3.8,3.5,0.42,4.76,19830.82,78.1,19830.82
267,HH0268,Kakuma 1,7.0,2025-06-28,Dry Rations,42.2,Very Satisfied,28.4,2.7,4.06,0.39,6.03,19830.82,73.3,19830.82
268,HH0269,Kalobeyei,1.0,2025-06-19,Cash Transfer,34.9,Very Unsatisfied,28.4,2.0,28.4,2.0,34.9,12046.84,65.3,12046.84
269,HH0270,Kakuma 4,1.0,2025-06-11,Cash Transfer,19.3,Very Satisfied,12.6,1.1,12.6,1.1,19.3,13447.05,33.0,13447.05
270,HH0271,Kakuma 3,5.0,2025-06-26,Cash Transfer,37.9,Satisfied,25.3,3.2,5.06,0.64,7.58,11340.6,66.4,11340.6
271,HH0272,Kakuma 1,6.0,2025-06-05,Dry Rations,39.6,Very Unsatisfied,29.3,3.3,4.88,0.55,6.6,19830.82,72.2,19830.82
272,HH0273,Kakuma 1,7.0,2025-06-05,E-Voucher,36.3,Unsatisfied,27.3,3.2,3.9,0.46,5.19,19830.82,66.8,19830.82
273,HH0274,Kakuma 4,5.0,2025-06-30,Dry Rations,21.6,Neutral,17.0,2.1,3.4,0.42,4.32,13447.05,40.7,13447.05
274,HH0275,Kakuma 3,7.0,2025-06-22,Cash Transfer,55.9,Very Satisfied,35.8,4.7,5.11,0.67,7.99,11340.6,96.4,11340.6
275,HH0276,Kakuma 3,9.0,2025-06-08,Cash Transfer,33.6,Very Unsatisfied,25.5,1.9,2.83,0.21,3.73,11340.6,61.0,11340.6
276,HH0277,Kalobeyei,3.0,2025-06-10,Dry Rations,37.8,Unsatisfied,28.3,2.4,9.43,0.8,12.6,12046.84,68.5,12046.84
277,HH0278,Kakuma 3,8.0,2025-06-06,Cash Transfer,15.9,Very Unsatisfied,9.7,1.5,1.21,0.19,1.99,11340.6,27.1,11340.6
278,HH0279,Kakuma 3,2.0,2025-06-15,Dry Rations,40.16,Very Satisfied,37.9,3.4,18.95,1.7,20.08,11340.6,81.46,11340.6
279,HH0280,Kakuma 3,7.0,2025-06-16,E-Voucher,35.3,Neutral,23.2,3.0,3.31,0.43,5.04,11340.6,61.5,11340.6
280,HH0281,Kakuma 2,2.0,2025-06-28,E-Voucher,41.0,Very Unsatisfied,27.1,3.5,13.55,1.75,20.5,12251.69,71.6,12251.69
281,HH0282,Kalobeyei,4.0,2025-06-17,E-Voucher,51.2,Satisfied,40.8,3.0,10.2,0.75,12.8,12046.84,95.0,12046.84
282,HH0283,Kakuma 1,7.0,2025-06-17,Cash Transfer,33.2,Very Unsatisfied,24.2,3.2,3.46,0.46,4.74,19830.82,60.6,19830.82
283,HH0284,Kakuma 4,3.0,2025-06-08,E-Voucher,49.6,Very Unsatisfied,36.9,4.1,12.3,1.37,16.53,13447.05,90.6,13447.05
284,HH0285,Kakuma 1,2.0,2025-06-08,Cash Transfer,19.4,Very Unsatisfied,15.4,1.1,7.7,0.55,9.7,19830.82,35.9,19830.82
285,HH0286,Kakuma 1,7.0,2025-06-25,Dry Rations,45.5,Satisfied,30.7,4.4,4.39,0.63,6.5,19830.82,80.6,19830.82
286,HH0287,Kakuma 4,1.0,2025-06-09,Dry Rations,40.16,Neutral,42.4,3.5,42.4,3.5,40.16,13447.05,86.06,13447.05
287,HH0288,Kalobeyei,8.0,2025-06-02,Dry Rations,34.2,Very Unsatisfied,23.5,2.3,2.94,0.29,4.28,12046.84,60.0,12046.84
288,HH0289,Kakuma 3,3.0,2025-06-15,Dry Rations,51.2,Satisfied,39.6,3.6,13.2,1.2,17.07,11340.6,94.4,11340.6
289,HH0290,Kakuma 1,2.0,2025-06-18,E-Voucher,58.3,Unsatisfied,37.1,3.1,18.55,1.55,29.15,19830.82,98.5,19830.82
290,HH0291,Kakuma 1,3.0,2025-06-03,E-Voucher,37.5,Very Unsatisfied,29.6,3.0,9.87,1.0,12.5,19830.82,70.1,19830.82
291,HH0292,Kakuma 1,5.0,2025-06-17,E-Voucher,36.6,Satisfied,23.6,2.1,4.72,0.42,7.32,19830.82,62.3,19830.82
292,HH0293,Kakuma 1,8.0,2025-06-04,E-Voucher,40.16,Very Satisfied,20.6,2.2,2.58,0.28,5.02,19830.82,62.96,19830.82
293,HH0294,Kakuma 4,8.0,2025-06-30,Cash Transfer,34.9,Unsatisfied,26.2,2.4,3.28,0.3,4.36,13447.05,63.5,13447.05
294,HH0295,Kakuma 4,7.0,2025-06-04,Cash Transfer,31.8,Very Unsatisfied,21.6,2.8,3.09,0.4,4.54,13447.05,56.2,13447.05
295,HH0296,Kalobeyei,7.0,2025-06-14,Cash Transfer,31.0,Satisfied,21.6,2.8,3.09,0.4,4.43,12046.84,55.4,12046.84
296,HH0297,Kalobeyei,8.0,2025-06-14,Dry Rations,52.0,Neutral,35.8,3.0,4.47,0.38,6.5,12046.84,90.8,12046.84
297,HH0298,Kakuma 3,1.0,2025-06-09,Cash Transfer,32.1,Unsatisfied,24.0,2.2,24.0,2.2,32.1,11340.6,58.3,11340.6
298,HH0299,Kakuma 4,4.0,2025-06-25,Cash Transfer,40.16,Very Unsatisfied,27.5,2.9,6.88,0.72,10.04,13447.05,70.56,13447.05
299,HH0300,Kakuma 1,6.0,2025-06-26,Cash Transfer,40.4,Satisfied,24.7,3.0,4.12,0.5,6.73,19830.82,68.1,19830.82
300,HH0301,Kakuma 1,9.0,2025-06-23,E-Voucher,55.0,Unsatisfied,36.3,4.9,4.03,0.54,6.11,19830.82,96.2,19830.82
301,HH0302,Kalobeyei,2.0,2025-06-30,Cash Transfer,35.0,Very Satisfied,24.3,3.0,12.15,1.5,17.5,12046.84,62.3,12046.84
302,HH0303,Kakuma 1,1.0,2025-07-01,Dry Rations,43.8,Satisfied,27.8,2.6,27.8,2.6,43.8,669.6,74.2,669.6
303,HH0304,Kakuma 1,2.0,2025-06-18,E-Voucher,47.9,Very Unsatisfied,32.1,3.3,16.05,1.65,23.95,19830.82,83.3,19830.82
304,HH0305,Kakuma 3,7.0,2025-06-10,Dry Rations,40.16,Satisfied,37.3,3.0,5.33,0.43,5.74,11340.6,80.46,11340.6
305,HH0306,Kakuma 4,3.0,2025-06-21,Cash Transfer,34.8,Unsatisfied,21.3,3.0,7.1,1.0,11.6,13447.05,59.1,13447.05
306,HH0307,Kakuma 1,2.0,2025-06-04,E-Voucher,33.8,Satisfied,24.2,1.9,12.1,0.95,16.9,19830.82,59.9,19830.82
307,HH0308,Kakuma 4,7.0,2025-06-12,Dry Rations,29.4,Very Satisfied,22.8,2.9,3.26,0.41,4.2,13447.05,55.1,13447.05
308,HH0309,Kalobeyei,2.0,2025-06-27,Cash Transfer,62.4,Very Satisfied,39.3,3.0,19.65,1.5,31.2,12046.84,104.7,12046.84
309,HH0310,Kalobeyei,2.0,2025-06-08,Dry Rations,53.8,Very Unsatisfied,38.7,3.7,19.35,1.85,26.9,12046.84,96.2,12046.84
310,HH0311,Kakuma 1,7.0,2025-06-02,Dry Rations,39.6,Neutral,29.0,3.1,4.14,0.44,5.66,19830.82,71.7,19830.82
311,HH0312,Kakuma 1,4.0,2025-06-22,Dry Rations,59.3,Unsatisfied,40.6,5.7,10.15,1.42,14.82,19830.82,105.6,19830.82
312,HH0313,Kakuma 2,1.0,2025-06-22,Dry Rations,39.0,Unsatisfied,28.9,3.0,28.9,3.0,39.0,12251.69,70.9,12251.69
313,HH0314,Kakuma 1,5.0,2025-06-21,Cash Transfer,47.2,Neutral,32.2,2.8,6.44,0.56,9.44,19830.82,82.2,19830.82
314,HH0315,Kakuma 2,5.0,2025-07-01,Dry Rations,40.1,Very Satisfied,28.1,2.8,5.62,0.56,8.02,338.7,71.0,338.7
315,HH0316,Kakuma 2,8.0,2025-06-16,E-Voucher,44.0,Very Satisfied,26.5,4.1,3.31,0.51,5.5,12251.69,74.6,12251.69
316,HH0317,Kakuma 3,9.0,2025-06-28,E-Voucher,42.9,Satisfied,31.7,3.5,3.52,0.39,4.77,11340.6,78.1,11340.6
317,HH0318,Kakuma 2,9.0,2025-06-02,Cash Transfer,35.8,Very Unsatisfied,26.2,3.0,2.91,0.33,3.98,12251.69,65.0,12251.69
318,HH0319,Kakuma 2,7.0,2025-06-11,Cash Transfer,50.9,Very Unsatisfied,30.9,4.8,4.41,0.69,7.27,12251.69,86.6,12251.69
319,HH0320,Kakuma 3,4.0,2025-06-10,Cash Transfer,47.2,Very Unsatisfied,31.8,4.5,7.95,1.12,11.8,11340.6,83.5,11340.6
320,HH0321,Kakuma 2,5.0,2025-06-15,Cash Transfer,50.3,Satisfied,40.0,4.8,8.0,0.96,10.06,12251.69,95.1,12251.69
321,HH0322,Kakuma 2,1.0,2025-06-17,Cash Transfer,43.2,Very Unsatisfied,40.0,2.4,40.0,2.4,43.2,12251.69,85.6,12251.69
322,HH0323,Kakuma 2,1.0,2025-06-08,Cash Transfer,30.9,Neutral,21.6,2.4,21.6,2.4,30.9,12251.69,54.9,12251.69
323,HH0324,Kakuma 1,3.0,2025-06-18,Cash Transfer,57.1,Satisfied,44.7,5.0,14.9,1.67,19.03,19830.82,106.8,19830.82
324,HH0325,Kakuma 1,8.0,2025-06-23,Dry Rations,37.4,Neutral,44.7,3.3,5.59,0.41,4.68,19830.82,85.4,19830.82
325,HH0326,Kakuma 1,2.0,2025-06-23,Dry Rations,40.16,Satisfied,31.2,3.5,15.6,1.75,20.08,19830.82,74.86,19830.82
326,HH0327,Kakuma 3,2.0,2025-06-25,E-Voucher,46.4,Very Unsatisfied,35.2,2.7,17.6,1.35,23.2,11340.6,84.3,11340.6
327,HH0328,Kalobeyei,2.0,2025-06-08,Dry Rations,43.6,Neutral,33.7,3.9,16.85,1.95,21.8,12046.84,81.2,12046.84
328,HH0329,Kakuma 2,5.0,2025-06-27,E-Voucher,49.2,Neutral,34.0,4.2,6.8,0.84,9.84,12251.69,87.4,12251.69
329,HH0330,Kakuma 2,9.0,2025-06-14,E-Voucher,50.7,Neutral,35.2,2.8,3.91,0.31,5.63,12251.69,88.7,12251.69
330,HH0331,Kakuma 3,1.0,2025-06-28,Dry Rations,37.8,Satisfied,25.6,2.8,25.6,2.8,37.8,11340.6,66.2,11340.6
331,HH0332,Kakuma 2,5.0,2025-06-26,Dry Rations,56.3,Unsatisfied,44.7,3.0,8.94,0.6,11.26,12251.69,104.0,12251.69
332,HH0333,Kakuma 1,9.0,2025-06-25,Dry Rations,37.3,Very Unsatisfied,27.6,3.0,3.07,0.33,4.14,19830.82,67.9,19830.82
333,HH0334,Kalobeyei,1.0,2025-06-18,Dry Rations,43.4,Neutral,26.8,2.2,26.8,2.2,43.4,12046.84,72.4,12046.84
334,HH0335,Kakuma 4,1.0,2025-06-22,Dry Rations,36.1,Unsatisfied,27.9,2.5,27.9,2.5,36.1,13447.05,66.5,13447.05
335,HH0336,Kakuma 2,8.0,2025-06-20,Dry Rations,33.3,Very Unsatisfied,23.2,2.6,2.9,0.32,4.16,12251.69,59.1,12251.69
336,HH0337,Kakuma 1,8.0,2025-06-30,E-Voucher,50.4,Very Unsatisfied,23.2,4.1,2.9,0.51,6.3,19830.82,77.7,19830.82
337,HH0338,Kakuma 4,5.0,2025-06-30,E-Voucher,71.2,Neutral,50.5,5.9,10.1,1.18,14.24,13447.05,127.6,13447.05
338,HH0339,Kalobeyei,5.0,2025-06-21,E-Voucher,36.4,Neutral,24.9,3.0,4.98,0.6,7.28,12046.84,64.3,12046.84
339,HH0340,Kakuma 4,6.0,2025-06-12,Cash Transfer,52.2,Satisfied,40.5,3.2,6.75,0.53,8.7,13447.05,95.9,13447.05
340,HH0341,Kakuma 1,6.0,2025-06-19,Dry Rations,36.7,Very Unsatisfied,23.5,2.1,3.92,0.35,6.12,19830.82,62.3,19830.82
341,HH0342,Kakuma 4,8.0,2025-06-14,E-Voucher,39.9,Unsatisfied,30.5,3.7,3.81,0.46,4.99,13447.05,74.1,13447.05
342,HH0343,Kakuma 3,8.0,2025-06-17,Cash Transfer,57.6,Neutral,41.0,3.3,5.12,0.41,7.2,11340.6,101.9,11340.6
343,HH0344,Kakuma 4,2.0,2025-06-24,Cash Transfer,29.3,Very Unsatisfied,17.9,2.9,8.95,1.45,14.65,13447.05,50.1,13447.05
344,HH0345,Kakuma 2,9.0,2025-06-21,E-Voucher,26.6,Neutral,17.9,2.5,1.99,0.28,2.96,12251.69,47.0,12251.69
345,HH0346,Kakuma 2,7.0,2025-06-21,Cash Transfer,39.1,Very Unsatisfied,17.9,2.9,2.56,0.41,5.59,12251.69,59.9,12251.69
346,HH0347,Kakuma 3,4.0,2025-06-26,Cash Transfer,46.6,Very Unsatisfied,17.9,4.6,4.47,1.15,11.65,11340.6,69.1,11340.6
347,HH0348,Kakuma 1,4.0,2025-06-30,E-Voucher,44.6,Neutral,30.9,2.4,7.72,0.6,11.15,19830.82,77.9,19830.82
